中文單位名稱,英文單位名稱,郵遞區號,地址,電話,POINT_X,POINT_Y
橫村派出所,Hengcun Police Station,312,新竹縣橫山鄉橫山村1鄰治安街1號,03 5934387,261936.3861,2734599.896
玉峰派出所,Yufong Police Station,311,新竹縣五峰鄉玉峰村5鄰玉峰55號,03 5847202,280432.5882,2728157.702
宇老派出所,Yulao Police Station,313,新竹縣尖石鄉玉峰村1鄰宇老1號,03 5847238,278531.319,2728996.924
秀巒派出所,Siouluan Police Station,313,新竹縣尖石鄉秀巒村4鄰控溪20號,03 5847523,278902.1474,2723491.506
內灣派出所,Neiwan Police Station,312,新竹縣橫山鄉內灣村2鄰中山街二段8號,03 5849164,267773.0,2733222.85
那羅派出所,Naluo Police Station,313,新竹縣尖石鄉錦屏村8鄰那羅41號,03 5841682,274654.7882,2730275.802
沙坑派出所,Shakeng Police Station,312,新竹縣橫山鄉沙坑村6鄰中豐路3段10巷1號,03 5811054,266469.0964,2736626.833
梅花派出所,Meihua Police Station,313,新竹縣尖石鄉梅花村1鄰梅花26號,03 5841681,271086.5566,2730139.778
尖石分駐所,Jianshih Police Station,313,新竹縣尖石鄉嘉樂村2鄰麥樹仁41號,03 5841144,270362.2906,2733162.861
泰崗派出所,Taigang Police Station,313,新竹縣尖石鄉秀巒村7鄰泰岡88號,03 5847322,280000,2722799
新埔分局,Sinpu Precinct,305,新竹縣新埔鎮中正路475號,03 5882004,257509.448,2746689.151
新埔派出所,Sinpu Police Station ,305,新竹縣新埔鎮新民里中正路776號,03 5882034,257204.799,2746733.301
錦山派出所,Jinshan Police Station,306,新竹縣關西鎮錦山里2鄰21號,03 5478174,273440.2256,2740546.628
玉山派出所,yushan police station,306,新竹縣關西鎮錦山里2鄰21號,03 5478174,273440.2256,2740546.628
東安派出所,Dong-an Police Station,306,新竹縣關西鎮中山東路100號,03 5872301,268431.9138,2742544.549
南華派出所,Nanhua  police  station,306,新竹縣關西鎮中山東路100號,03 5872301,268431.9138,2742544.549
關西分駐所,Guansi Police Station,306,新竹縣關西鎮中央街2號,03 5872007,267454.98,2742777.36
褒忠派出所,Baojhong police Station,305,新竹縣新埔鎮下寮里12鄰義民路3段329號,03 5882094,253630.9639,2748406.5
寶石派出所,Baoshih Police Station,305,新竹縣新埔鎮寶石里文德路2段599號,03 5882064,257853.8649,2745446.304
照門派出所,Jhaomen Police Station,305,新竹縣新埔鎮照門里9鄰照鏡20-20號,03 5899194,261688.11,2748805.81
石光派出所,Shihguang Police Station,306,新竹縣關西鎮石光里9鄰392號,03 5868060,262983.7735,2745179.007
坪林派出所,Pinglin Police Station ,306,新竹縣關西鎮石光里9鄰392號,03 5868060,262983.7735,2745179.007
新竹市警察局,Hsinchu City Police Bureau,300,新竹市北區中山路1號,03 5249234,246820.12,2744331.81
第一分局,The First Precinct,300,新竹市北區竹光路290號,03 5222725,245500.71,2744767.64
湳雅派出所,Nanya Police Station,300,新竹市北區湳雅街116號,03 5356710,247271.19,2745797.87
樹林頭派出所,Shulintou Police Station,300,新竹市北區竹光路290號,03 5267652,245500.71,2744767.64
南寮派出所,Nanliao Police Station,300,新竹市北區東大路3段541號,03 5362334,243678.45,2748101.87
北門派出所,Beimen Police Station,300,新竹市北區北大路218號,03 5222223,246467.62,2744514.93
西門派出所,Ximen Police Station,300,新竹市北區中山路300號,03 5222452,246078.37,2743844.75
第二分局,The Second Precinct,300,新竹市東區光復路2段798號,03 5728750,248634.7096,2743759.18
文華派出所,Wenhua Police Station,300,新竹市東區經國路1段488號,03 5332120,247686.72,2745252.06
關東橋派出所,Guandongqiao Police Station,300,新竹市東區介壽路200號,03 5775758,251910.692,2741290.153
埔頂派出所,Puding Police Station,300,新竹市東區光復路1段568號,03 5773999,250795.51,2742410.7
東勢派出所,The Second Precinct,300,新竹市東區光復路2段798號,03 5728758,248643.97,2743790.93
東門派出所,Dongmen Police Station,300,新竹市東區東門街87號,03 5222607,246948.81,2744082.43
第三分局,The Third Precinct,300,新竹市香山區牛埔路432號,03 5380040,244199.05,2743363.71
中華派出所,Zhonghua Police Station,300,新竹市香山區大庄路105號,03 5302487,242537.4979,2742705.982
青草湖派出所,Jingcaohu Police Station,300,新竹市東區明湖路666號,03 5201563,246602.33,2740751.94
朝山派出所,Zhaoshan Police Station,300,新竹市香山區中華路5段690號,03 5373165,241372.92,2739889.66
香山派出所,Siangshan Police Station,300,新竹市香山區牛埔路432號,03 5386348,244199.05,2743363.71
南門派出所,Nanmen Police Station,300,新竹市東區勝利路85號,03 5222224,246745.5572,2743643.153
苗栗縣警察局,Miaoli County Police Bureau,360,苗栗縣苗栗市府前路2號,037 321303,231778.8222,2717489.65
苗栗分局,Miaoli  Precinct ,360,苗栗縣苗栗市金鳳街109號,037 320059,231868.0025,2715032.322
明德派出所,Mingde Police Station ,362,苗栗縣頭屋鄉明德路131號,037 252538,238305.6,2719778.6
鯉魚派出所,Liyu Police Station ,367,苗栗縣三義鄉鯉魚口54-1號,037 881040,223935,2693782
福基派出所,Fuji Police Station ,363,苗栗縣公館鄉福基村5鄰133號,037 225984,232840.92,2707334.39
龍騰派出所,Longteng Police Station ,367,苗栗縣三義鄉伯公坑41號,037 872396,224594.29,2696962.98
雞隆派出所,Jilong Police Station  ,366,苗栗縣銅鑼鄉新隆村2鄰20號,037 971012,230574.1613,2702540.815
鶴岡派出所,Hegang Police Station ,363,苗栗縣公館鄉鶴山村7鄰232號,037 226975,232987.12,2713948.49
頭屋分駐所,Touwu Police Station ,362,苗栗縣頭屋鄉象山村象山路82-1號,037 253103,236443.17,2719380.551
銅鑼分駐所,Tongluo Police Station ,366,苗栗縣銅鑼鄉銅鑼村中正路122號,037 981014,228433.62,2708980.82
文山派出所,Wunshan Police Station ,360,苗栗縣苗栗市至公路557號,037 337127,230809.2993,2717716.474
公館分駐所,Gongguan Police Station ,363,苗栗縣公館鄉大同路181號,037 225683,232479.0983,2710814.225
北苗派出所,Beimiao Police Station ,360,苗栗縣苗栗市為公路227號,037 260344,232637.728,2718304.071
南苗派出所,Nanmiao Police Station ,360,苗栗縣苗栗市信義街60號,037 320367,231193.4749,2716043.596
三義分駐所,Sanyi Police Station ,367,苗栗縣三義鄉廣盛村廣盛90號,037 872003,226659,2700758
竹南分局,Chunan Precinct,350,苗栗縣竹南鎮民族街72號,037 478032,237708.5997,2730910.147
大山派出所,Dashan  Police Station,356,苗栗縣後龍鎮灣寶里5鄰93號,037 431764,230865.89,2726861.92
外埔派出所,Waipu  Police Station,356,苗栗縣後龍鎮海埔5號,037 431361,227258.12,2726883.28
中港海口派出所,Zhonggan-Haikou Police Station,350,苗栗縣竹南鎮海口里六鄰62之12號,037 460684,2236227.38,2729875.848
聯港派出所,Liangang  Police Station,356,苗栗縣後龍鎮津龍里5鄰公司寮59號,037 450734,225716.73,2722867.126
談文派出所,Tanwen  Police Station,361,苗栗縣造橋鄉談文村8鄰51-16號,037 622664,235019.86,2727437.28
新港派出所,Xingang  Police Station,360,苗栗縣後龍鎮建興路111號,037 722474,231098.61,2722737.57
南勢派出所,Nanshi Police Station,360,苗栗縣後龍鎮南勢山1鄰15-10號,037 921445,223200.965,2718672.976
造橋分駐所,Zaoqiao  Police Station,361,苗栗縣造橋鄉平仁路51號,037 563224,236515.38,2726129.66
竹南派出所,Chunan  Police Station,350,苗栗縣竹南鎮民族街72號,037 474796,237708.5997,2730910.147
後龍分駐所,Houlong  Police Station,356,苗栗縣後龍鎮三民路107號,037 722520,228365.49,2723000.9
大同派出所,Datong  Police Station,350,苗栗縣竹南鎮公義路931號,037 581712,239570.1855,2733602.298
大湖分局,Dahu Precinct,364,苗栗縣大湖鄉中正路78號,037 991006,236439.16,2701863.17
坪林派出所,Pinglin Police Station ,369,苗栗縣卓蘭鎮坪林里5鄰坪林50號,04 25921101,237297,2692064
百壽派出所,Baishou Police Station,354,苗栗縣獅潭鄉百壽村7鄰39-1號,037 931231,244024.85,2719202.72
觀霧派出所,Guanwu Police Station,365,苗栗縣泰安鄉梅園村觀霧1號,037 273038,261524,2711111
大興派出所,Dasing Police Station,365,苗栗縣泰安鄉大興村24號,037 992349,240956.715,2701687.18
泰安分駐所,Taian Police Station,365,苗栗縣泰安鄉清安村2鄰洗水坑65號,037 941057,240661.939,2704649.401
汶水派出所,Wunshuei Police Station,354,苗栗縣獅潭鄉竹木村16鄰24號,037 991648,237422.22,2705718.23
獅潭分駐所,Shitan Police Station,354,苗栗縣獅潭鄉新店村7鄰63號,037 931348,242105.42,2714998.57
龍山派出所,Longshan Police Station,365,苗栗縣泰安鄉錦水村10鄰橫龍山52號,037 941136,246802,2707053
八卦派出所,Bagua Police Station,365,苗栗縣泰安鄉錦水村10鄰橫龍山52號,037 941137,246802,2707053
大湖派出所,Dahu Police Station,364,苗栗縣大湖鄉中正路78號,037 991041,236439.16,2701863.17
和興派出所,Hexing Police Station,354,苗栗縣獅潭鄉和興村12鄰27號,037 931230,240931.15,2712017.03
大安派出所,Daan Police Station,365,苗栗縣泰安鄉象鼻村1鄰22號,037 962241,244807.419,2694896.459
校林派出所,Siaolin Police Station,364,苗栗縣大湖鄉栗林村5鄰四份62-1號,037 951337,234023.575,2696371.517
南湖派出所,Nanhu Police Station,364,苗栗縣大湖鄉南昌路132號,037 991547,236542.33,2699490.99
梅園派出所,Meiyuan Police Station,365,苗栗縣泰安鄉梅園村6鄰天狗32號,037 962131,247867.206,2698554.4
卓蘭分駐所,Jhuolan Police Station,369,苗栗縣卓蘭鎮中山路106號,04 25892017,232297.64,2689666.7
象鼻派出所,Siangbi Police Station,365,苗栗縣泰安鄉象鼻村1鄰象鼻12號,037 962243,244742.5687,2694951.288
中興派出所,Jhongsing Police Station,365,苗栗縣泰安鄉中興村1鄰長橋9號,037 992350,241917.2646,2698665.385
通霄分局,Tongsiao Precinct,357,苗栗縣通霄鎮中正路16號,037 752464,217789.9649,2709413.453
埔口派出所,Pukou Police Station,357,苗栗縣通霄鎮中山路260號,037 792143,218686.6761,2711835.159
中和派出所,Jhonghe Police Station,357,苗栗縣通霄鎮南和里9鄰112號,037 782254,221768.9844,2704537.643
白沙派出所,Baisha Police Station,357,苗栗縣通霄鎮白東里17鄰133號,037 792134,220694.521,2717562.64
高湖派出所,Gaohu Police Station,368,苗栗縣西湖鄉五福村6鄰97號,037 911414,227303.943,2712920.774
通霄派出所,Tongsiao Police Station,357,苗栗縣通霄鎮中正路16號,037 752001,217789.9649,2709413.453
苑裡分駐所,Yuanli Police Station,358,苗栗縣苑裡鎮天下路84號,037 861024,214849.3796,2704212.874
西湖分駐所,Sihu Police Station,368,苗栗縣西湖鄉金獅村2鄰金獅26-6號,037 921031,225469,2716912
社苓派出所,Sheling Police Station,358,苗栗縣苑裡鎮玉田里5鄰62之3號,037 742508,218038.5851,2698186.477
烏眉派出所,Wumei Police Station,357,苗栗縣通霄鎮烏眉里4鄰41號,037 753164,221884.041,2711410.248
山腳派出所,Shanjiao Police Station,358,苗栗縣苑裡鎮山腳里389號,037 740217,218180.599,2701267.536
頭份分局,Toufen  Precinct,351,苗栗縣頭份市蟠桃里中興路503號,037 663306,240482.828,2731884.348
頭份派出所,Toufen Police Station,351,苗栗縣頭份市蟠桃里中興路503號,037 663004,240482.828,2731884.348
大河派出所,Dahe Police Station,352,苗栗縣三灣鄉大河村6鄰河底48號,037 831081,244817.399,2723471.47
蓬萊派出所,Penglai Police Station,353,苗栗縣南庄鄉紅毛館90號,037 822040,247138.36,2715294.88
東河派出所,Donghe Police Station,353,苗栗縣南庄鄉東河村5鄰50號,037 822094,254279.52,2721377.47
田美派出所,Tianmei Police Station,353,苗栗縣南庄鄉獅山村4鄰106號,037 822134,251171.34,2724695.88
陸家派出所,Lioujia Police Station,353,苗栗縣南庄鄉東河村24鄰鹿場2號,037 821570,252780.0968,2714687.04
南埔派出所,Nanpu Police Station,353,苗栗縣南庄鄉南富村13鄰14號,037 822752,247859.65,2725398.05
斗坪派出所,Douping Police Station,351,苗栗縣頭份市斗煥里中正二路215號,037 665770,244561.4211,2730420.293
尖山派出所,Jianshan Police Station,351,苗栗縣頭份市廣興里中華路160號,037 622763,237995.4188,2728629.693
南庄分駐所,Nanjhuang Police Station,353,苗栗縣南庄鄉大同路27號,037 822004,249879.226,2721206.531
三灣分駐所,Sanwan Police Station,352,苗栗縣三灣鄉中正路254號,037 831071,245639.76,2727566.88
臺中市政府警察局,Taichung City Police Department,427,臺中市潭子區豐興路1段500號,04 23274440,221828.482,2677381.386
第一分局,First Precinct,403,臺中市西區三民路1段178號,04 22223725,217049.3807,2670374.462
西區分駐所,West District Police Station,403,臺中市西區三民路1段178號,04 22222632,217049.3807,2670374.462
公益派出所,Gongyi Police Station,403,臺中市西區精誠二十三街30號,04 24727640,215088.9172,2671215.35
民權派出所,Mincyuan Police Station,403,臺中市西區民權路258號,04 22012710,221828.482,2677381.386
大誠分駐所,Dacheng Police Station,400,臺中市中區成功路302號,04 22221373,217425.6548,2671007.111
繼中派出所,Jijhong Police Station,400,臺中市中區中山路9號,04 22224119,217866.6724,2670267.416
第二分局,Second Precinct,404,臺中市北區太原路2段228號,04 22351200,217710.7638,2673331.101
永興派出所,Yong Sing Police Station,404,臺中市北區太原路2段228號,04 22352735,217710.7638,2673331.101
立人派出所,Liren Police Sation,404,臺中市北區天津路1段2號,04 22973545,216311.0222,2673874.003
育才派出所,Yuchai Police Station,404,臺中市北區三民路3段128號,04 22223695,217951.7073,2671722.339
文正派出所,Wunjheng Police Station,404,臺中市北區台灣大道1段700號,04 22011252,216936.719,2671340.822
公園派出所,Taichung Park Police Station,404,臺中市北區雙十路1段65號,04 22230097,218051.4677,2671019.107
第三分局,Third Precinct,402,臺中市南區復興路3段157號,04 22220498,216810.7018,2669535.826
東區分駐所,East District Police Station,401,臺中市東區進化路16號,04 22124179,218947.8243,2670707.073
合作派出所,Hezuo Police Station,401,臺中市東區力行路202號,04 23602711,218791.5178,2671871.27
立德派出所,Lide Police Station,401,臺中市東區振興路6號,04 22203248,218483.863,2670093.556
勤工派出所,Cingong Police Station,402,臺中市南區復興路1段235號,04 22612716,214497.3499,2667496.65
健康派出所,Jian Kang Police Station,402,臺中市南區美村南路8號,04 22634622,216158.102,2668316.624
正義派出所,Jhengyi Police Station,402,臺中市南區復興路3段159號,04 22223319,216817.3983,2669539.045
第四分局,Fourth Precinct,408,臺中市南屯區向心南路811號,04 23892110,213760.392,2669933.595
黎明派出所,Liming Police Station,408,臺中市南屯區干城街2號,04 22528219,212807.3239,2672336.897
春社派出所,Chunshe Police Station,408,臺中市南屯區忠勇路23之5號,04 23824719,210517.4345,2670125.501
南屯派出所,Nantun Police Station,408,臺中市南屯區黎明路1段1056號,04 23824718,213240.5232,2670522.001
大墩派出所,Dadun Police Station,408,臺中市南屯區大墩路229號,04 24724871,214399.667,2670792.422
第五分局,Fifth Precinct,406,臺中市北屯區崇德路3段2號,04 22427113,218152.0723,2675216.409
文昌派出所,Wunchang Police Station,406,臺中市北屯區文昌東三街48號,04 22377714,217557.4784,2673931.952
東山派出所,Dongshan Police Station,406,臺中市北屯區東山路2段30號,04 22392713,223614.761,2674876.583
四平派出所,Siping Police Station,406,臺中市北屯區昌平路2段63號,04 24222714,217704.4983,2676388.9
水湳派出所,Shuinan Police Station,406,臺中市北屯區中清路299號,04 22979937,216285.271,2674827.007
北屯派出所,Beitun Police Station,406,臺中市北屯區北屯路106號,04 22332712,218890.0163,2673205.72
松安派出所,Song-an Police Station,406,臺中市北屯區松竹路2段5號,04 22461750,219507.2201,2675250.904
第六分局,Sixth Precinct,407,臺中市西屯區市政路456號,04 22513284,213318.7843,2672734.812
市政派出所,Shihjheng Police Station,407,臺中市西屯區市政路456號,04 22513312,213318.7843,2672734.812
西屯派出所,Situn Police Station,407,臺中市西屯區西屯路3段40號,04 27012717,213216.5221,2675122.952
何安派出所,He-an Police Station,407,臺中市西屯區甘肅路106號,04 23149343,215362.7162,2673474.965
協和派出所,Siehe Police Station,407,臺中市西屯區臺灣大道4段1347號,04 23593736,210265.4021,2675441.701
工業區派出所,Industrial District Police Station,407,臺中市西屯區工業五路2之1號,04 23596317,210156.0726,2673769.943
永福派出所,Yongfu Police Station,407,臺中市西屯區國安二路300號,04 24613009,210405.909,2676600.442
大甲分局,Dajia Precinct,437,臺中市大甲區文武路1號,04 26872039,212121.7517,2693325.728
大甲派出所,Dajia Police Station,437,臺中市大甲區大甲里文武路1號,04 26872047,212121.7517,2693325.728
安定派出所,An-ding Police Station,438,臺中市外埔區土城路110號,04 26831522,219984.48,2693291.521
日南派出所,Rihnan Police Station,437,臺中市大甲區中山路2段165號,04 26813700,214848.7611,2697071.069
月眉派出所,Yuemei Police Station,421,臺中市后里區三月路19號,04 25562384,218758.3419,2689767.099
西岐派出所,Xiqi Police Station,437,臺中市大甲區順帆路94號,04 26811320,212359.8717,2701590.083
泰安派出所,Tai-an Police Station,421,臺中市后里區安眉路1號,04 25562340,224808.0225,2690949.053
海墘派出所,Haiqian Police Station,439,臺中市大安區大安港路1160號,04 26875845,208074.7473,2697117.929
義里派出所,Yili Police Station,421,臺中市后里區三豐路839號,04 25562333,221756.092,2688811.044
后里分駐所,Houli Police Station,421,臺中市后里區公安路88號,04 25562037,220583.0761,2688851.127
外埔分駐所,Waipu Police Station,438,臺中市外埔區六分路350號,04 26832690,215033.2552,2691867.918
大安分駐所,Da-an Police Station,439,臺中市大安區中山南路300號,04 26713320,208178.0845,2693434.16
和平分局,Heping Precinct,424,臺中市和平區東關路3段154號,04 25942560,238222.42,2674419.887
天輪派出所,Tianlun Police Station,424,臺中市和平區東關路2段33號,04 25941193,242571.7333,2675145.481
德基派出所,Deji Police Station,424,臺中市和平區和平路2段16之1號,04 25980439,271223.3542,2683560.202
環山派出所,Huanshan Police Station,424,臺中市和平區中興路3段48號,04 25802242,279979.6,2689800.029
雙崎派出所,Shuangqi Police Station,424,臺中市和平區東崎路2段39號,04 25911214,240788.575,2687367.933
桃山派出所,Taoshan Police Station,424,臺中市和平區東崎路1段桃山巷7之2號,04 25911314,243491.2218,2692665.601
大棟派出所,Dadong Police Station,424,臺中市和平區雪山路2號,04 25971106,240577.6205,2681716.262
勝光派出所,Shengguang Police Station,424,臺中市和平區平等村中興路1段21號,04 25901004,284363.3858,2695886.85
志良派出所,Zhiliang Police Station,424,臺中市和平區中興路2段47號,04 25901040,281737.046,2692772.349
竹林派出所,Zhulin Police Station,424,臺中市和平區東崎路1段89號,04 25911114,242345.226,2688819.071
梨山分駐所,Lishan Police Station,424,臺中市和平區中正路103號,04 25989580,275050.8275,2683212.787
松茂派出所,Songmao Police Station,424,臺中市和平區中興路4段54號,04 25989692,276879.9081,2686844.13
和平派出所,Heping Police Station,424,臺中市和平區東關路3段270號,04 25941324,236754.6274,2673768.254
谷關派出所,Guguan Police Station,424,臺中市和平區博愛村東關路1段125號,04 25951114,250666.8323,2677501.395
雪山派出所,Xueshan Police Station,424,臺中市和平區雪山路10號,04 25883514,252052.2496,2684641.101
烏日分局,Wurih Precinct,414,臺中市烏日區中山路2段309號,04 23369595,211649.848,2666819.46
烏日派出所,Wurih Police Station,414,臺中市烏日區中山路2段309號,04 23381448,211649.8708,2666819.508
龍津派出所,Longjin Police Station,434,臺中市龍井區中央路1段165巷36號,04 26396084,201511.182,2677379.114
五光派出所,Wuguang Police Station,414,臺中市烏日區環河路一段1200號,04 23381960,214183.116,2665316.912
龍井分駐所,Lungjing Police Station,434,臺中市龍井區沙田路4段245號,04 26353054,203844.9225,2676336.352
溪南派出所,Xhinan Police Station,414,臺中市烏日區溪南路2段638號,04 23351676,214019.5282,2661319.795
龍東派出所,Lungdong Police Station,434,臺中市龍井區茄投路67號,04 26397043,202290.8098,2674889.46
麗水派出所,Lishui Police Station,434,臺中市龍井區臨港東路2段317號,04 26395994,200693.4374,2677022.687
犁份派出所,Lifen Police Station,434,臺中市龍井區遊園南路194號,04 26312719,207737.006,2675311.505
追分派出所,Zhuifen Police Station,432,臺中市大肚區沙田路1段290號,04 26932108,206326.4812,2668540.338
大肚分駐所,Dadu Police Station ,432,臺中市大肚區沙田路3段38號,04 26992167,203704.5911,2672265.264
瑞井派出所,Rueijing Police Station,432,臺中市大肚區遊園路1段1之1號,04 26910205-6,206553.0651,2672000.836
三和派出所,Sanhe Police Station,414,臺中市烏日區三榮八路25號,04 23388011,209630.444,2667041.385
東勢分局,Dongshi Precinct,423,臺中市東勢區豐勢路512號,04 23302139,232528.7393,2683653.107
東勢派出所,Dongshi Police Station,423,臺中市東勢區豐勢路512號,04 25873802,232528.7393,2683653.107
茅埔派出所,Maopu Police Station,423,臺中市東勢區下城里下城街36號,04 25852472,233523.425,2679329.602
東興派出所,Tongxing Police Station,426,臺中市新社區興社街1段285號,04 25811476,231836.9784,2677951.037
土牛派出所,Tuniu Police Station,422,臺中市石岡區豐勢路19號,04 25817493,231335.0178,2683833.957
中坑派出所,Zhongkeng Police Station,423,臺中市東勢區東坑路665號,04 25874474,235202.0875,2681200.231
永源派出所,Yongyuan Police Station,426,臺中市新社區中和街1段20號,04 25811475,228894.371,2679332.255
石城派出所,Shicheng Police Station,423,臺中市東勢區石城街297號,04 25874473,228596.625,2686613.104
福中派出所,Fuzhong Police Sstation,426,臺中市新社區美林45號,04 25941364,236270.5,2672657.917
石岡分駐所,Shigang Police Station,422,臺中市石岡區豐勢路1021號,04 25722781,227763.0789,2685473.119
新社分駐所,Xinshe Police Station,426,臺中市新社區興社街2段28之3號,04 25811401,230699.195,2680960.219
清水分局,Qingshui Precinct,436,臺中市清水區鰲峰路23號,04 26222022,206757.0623,2684909.147
清水派出所,Qingshui Police Station,436,臺中市清水區鰲峰路23號,04 26222054,206757.0623,2684909.147
大楊派出所,Dayang Police Station,436,臺中市清水區神清路46號,04 26202409,212566.3435,2685328.244
大秀派出所,Daxiu Police Station,436,臺中市清水區五權路438號,04 26265404,204688.1177,2686138.882
安寧派出所,An-ning Police Station,435,臺中市梧棲區中棲路2段18號,04 26560343,203127.907,2682742.868
高美派出所,Gaomei Police Station,433,臺中市清水區護岸路29號,04 26113384,205598.604,2689576.413
明秀派出所,Mingxiu Police Station,433,臺中市沙鹿區鎮南路1段450號,04 26314309,206459.611,2679009.221
光華派出所,Guanghua Police Station,433,臺中市沙鹿區光華路387號,04 26630624,206099.5845,2682136.777
清泉派出所,Qingquan Police Station,433,臺中市沙鹿區中清路2之39號,04 26153884,210387.9563,2682326.161
梧棲分駐所,Wuqi Police Station,435,臺中市梧棲區中興路210號,04 26562860,202664.4849,2683328.073
沙鹿分駐所,Shalu Police Station,433,臺中市沙鹿區鎮政路12號,04 26625032,205964.98,2681066.362
三田派出所,Santian Police Station,436,臺中市清水區中山路559號,04 26222146,208197.1691,2687533.564
豐原分局,Fengyuan Precinct,420,臺中市豐原區葫蘆里中山路225號,04 25224684,220912.6917,2682040.778
豐洲派出所,Fengjhou Police Station,420,臺中市豐原區豐洲里豐洲路489號,04 25272585,219897.4914,2684068.271
合作派出所,Hezuo Police Station,420,臺中市豐原區育英路52號,04 25293134,221167.7515,2681960.198
豐東派出所,Fengdong Police Station,420,臺中市豐原區豐東路162號,04 25286917,222630.8917,2682583.538
社口派出所,Shekou Police Station,429,臺中市神岡區社口里社口街106巷2號,04 25625392,218161.383,2682743.308
翁子派出所,Wengzi Police Station,420,臺中市豐原區豐勢路2段10號,04 25275594,223259.3918,2683919.098
神岡分駐所,Shengang Police Station,429,臺中市神岡區神岡路121號,04 25622422,215359.8274,2683484.686
頂街派出所,Dingjie Police Station,420,臺中市豐原區東北街1-1號,04 20228150,221896.1911,2683278.168
豐原派出所,Fengyuan Police Station,420,臺中市豐原區西安街21號,04 25250092,220978.731,2682614.289
霧峰分局,Wufeng Precinct,413,臺中市霧峰區中正路1236號,04 23302139,219512.839,2663394.564
國光派出所,Guoguang Police Station,412,臺中市大里區永大街5號,04 24180232,217416.75,2666906.199
十九甲派出所,Shijiujia Police Station,412,臺中市大里區立元路115號,04 22706613,219516.9489,2666387.3
霧峰派出所,Wufeng Police Station,413,臺中市霧峰區民權街37號,04 23393013,219533.4445,2662461.022
萬豐派出所,Wanfeng Police Station,413,臺中市霧峰區中正路161號,04 23302873,219137.682,2657960.809
大里分駐所,Dali Police Station,412,臺中市大里區新興路5號,04 24060634,217151.3116,2665912.658
吉峰派出所,Jifeng Police Station,413,臺中市霧峰區中正路1236號,04 23334342,219512.839,2663394.564
內新派出所,Neixin Police Station,412,臺中市大里區中興路2段598號,04 24875584,218469.9164,2667810.578
成功派出所,Chenggong Police Station,412,臺中市大里區成功路9號,04 24969293,219264.7107,2664451.173
仁化派出所,Renhua Police Station,412,臺中市大里區仁化路198號,04 24952010,221066.4695,2665533.592
四德派出所,Si-de Police Station,413,臺中市霧峰區四德路541號,04 23398281,216042.8965,2661727.342
太平分局,Taiping Precinct,411,臺中市太平區中山路1段215號,04 23938100,222800.6701,2670800.257
太平派出所,Taiping Police Station,411,臺中市太平區中興東路21號,04 22780418,221479.2887,2669435.047
新平派出所,Xinping Police Station,411,臺中市太平區新高里中山路4段2號,04 23912446,220946.554,2671618.11
宏龍派出所,Honglong Police Station,411,臺中市太平區光興路900號,04 22702700,222568.7521,2667175.838
頭汴派出所,Toubian Police Station,411,臺中市太平區長龍路2段11巷2號,04 22704962,224645.1197,2668740.503
坪林派出所,Pinglin Police Station,411,臺中市太平區中山路1段215號,04 23937396,222800.6701,2670800.257
大雅分局,Daya Precinct,428,臺中市大雅區中清東路226號,04 25665216,214162.945,2679957.876
大雅派出所,Daya Police Station,428,臺中市大雅區中清東路226號,04 25680184,214162.225,2679962.297
馬岡派出所,Magang Police Station,428,臺中市大雅區雅潭路4段20號,04 25662064,216208.064,2679002.827
潭子分駐所,Tanzi Police Station,427,臺中市潭子區中山路2段241巷3號,04 25348866,219999.881,2678284.783
潭北派出所,Tanbei Police Station,427,臺中市潭子區潭子街3段56號,04 25361651,220208,2678841
頭家派出所,Toujia Police Station,427,臺中市潭子區得天南街37巷57號,04 25353818,219542.2593,2676415.701
南投縣政府警察局,Nantou County Police Bureau,540,南投縣南投市南崗二路133號,049 2222448,217279.8719,2645067.059
南投分局,Nantou Police Precinct,540,南投縣南投市彰南路2段109號,049 2222923,217748.903,2645109.18
南投派出所,Nantou Police Station,540,南投縣南投市彰南路2段109號,049 2222336,217748.903,2645109.18
永和派出所,Yonghe Police Station,551,南投縣名間鄉大庄村南田路138號,049 2271002,214777.2146,2641143.803
赤水派出所,Chishui Police Station,551,南投縣名間鄉赤水村南田路291號,049 2271159,212251.1604,2639262.811
崁峰派出所,Kanfeng Police Station,551,南投縣名間鄉崁腳村名松路1段309號,049 2582138,215488.08,2636827.52
名間分駐所,Mingjian Police Station,551,南投縣名間鄉中正村彰南路30號,049 2732149,219816.198,2637081.009
新佳派出所,Xinjia Police Station,551,南投縣名間鄉新街村彰南路422號,049 2225160,218799.19,2641604.26
鳳鳴派出所,Fengming Police Station,540,南投縣南投市八卦路837號,049 2291939,213147.5209,2646881.922
半山派出所,Banshan Police Station,540,南投縣南投市平山里新市路51號,049 2251264,217031.02,2646377.6
中興分局,Chunghsing Police Precinct,540,南投縣南投市光華路115號,049 2332585,218816,2649564
中興派出所,Chunghsing Police station,540,南投縣南投市光華路115號,049 2332544,218816,2649564
永清派出所,Yongqing police station,540,南投縣南投市南營路745號,049 2325314,217297,2648573
光明派出所, Guangming police station,540,南投縣南投市光明路35號,049 2332586,219211.1301,2648284.529
府西派出所,Fu-xi police station,540,南投縣南投市虎山路15號,049 2332557,217954,2650393
仁愛分局,Jeani Police Sub-bureau,546,南投縣仁愛鄉大同村仁和路87號,049 2802204,263469.4471,2657612.879
霧社派出所,Wushe Police Station,546,南投縣仁愛鄉大同村仁和路87號,049 2802520,263469.4471,2657612.879
